hotelName;offerId;hotelId;locality;postalCode;street;destinationName;accType;accType_Stat;NACE;lat;lon;price;starRating;guestReviewsRating;guestReviewsTotal;Period.2019.02;Period.2019.03;Period.2019.04;Period.2019.05;Period.2019.06;Period.2019.07;Period.2019.08;Period.2019.09;Period.2019.10;Period.2019.11;Period.2019.12;Period.2020.01;Period.2020.02;Period.2020.03;Period.2020.04;Period.2020.05;Period.2020.06;Period.2020.07;Period.2020.08;Period.NA.20
Apartamenty Hornigold Grodowa;625912960;19528530;Katowice;40-407;ul. Grodowa 25;WojewÛdztwo úlπskie, Polska;Apart-hotel;Hotels;55.1;50,242361;19,094002;795;4;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Wygodne Pokoje H114;1425144512;44504516;Gliwice;44-102;TarnogÛrska 114 C;WojewÛdztwo úlπskie, Polska;Guest House;Rooms for guest;55.2;50,31073;18,69117;80;2;8;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0
Apartmood Moniuszki 2;1398795072;43681096;Katowice;40-005;Moniuszki 12;WojewÛdztwo úlπskie, Polska;Apartment;Hotels;55.2;50,260746;19,024338;198;;;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0
Pensjonacik Ogrody;337513;3167219;WrÍczyca Wielka;42-130;Pierzchno 56 D;WojewÛdztwo úlπskie, Polska;Bed and breakfast;Rooms for guest;55.2;50,861186;19,003573;108;3;8,6;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Aparthotel Ventus Rosa;415753;5314113;Bielsko-Bia≥a;43-300;CieszyÒska 4;WojewÛdztwo úlπskie, Polska;Apart-hotel;Hotels;55.1;49,820603;19,041525;180;3;8,4;30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Meta Resort & Vine SPA;542436;1897421;Szczyrk;43-370;ul. Skoúna 4;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,707151;19,01415;396;4;7;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
3 Bros' Apart;1196016896;37344278;Cieszyn;undefined;;WojewÛdztwo úlπskie, Polska;Apartment;Hotels;55.2;49,7501;18,6294;243;3,5;;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Qubus Hotel Bielsko-Biala;370349;4183626;Bielsko-Bia≥a;43-300;Mostowa 2;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,826561;19,048474;272,79;4;9;73;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Hotel Øywiecki Medical Spa & Sport;533383;11578507;åwinna;34-331;ul. KÍpka 3;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,631553;19,256278;322;3,5;10;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Komplex Apartamenty Europa Sosnowiec;1064595264;33237352;Sosnowiec;41-200;Sienkiewicza 3;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,273907;19,127064;312,3;3,5;10;5;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
