"";"PKB";"przemysł";"budownictwo";"handel";"transport";"zakwaterowanie i gastronomia";"ICT"
"R2002 kw2";198461,7;38302;11087,2;35468,5;10437,1;2231,4;8568,7
"R2002 kw3";200992,1;42139,8;14495,7;36966,6;9924,2;2218,9;7518,8
"R2002 kw4";222880,7;44032,6;19493;35797,7;9869,5;2156,3;8421,7
"R2003 kw1";194803,2;41572,7;6571,2;34759,2;9277,5;1607,1;7585,1
"R2003 kw2";207707,9;42294,9;10516,4;35216,1;11642,7;2232,1;9154,9
"R2003 kw3";208842,8;46396,6;14323;36027,5;10546,2;2298,1;7703,9
"R2003 kw4";235798,2;51360,9;19569,7;36232;10420,1;2206,4;8695,5
"R2004 kw1";214304,7;49506,3;6359,8;37594,5;9892,5;1608,9;8754
"R2004 kw2";226018,2;50661,3;11407,3;38159,8;12881,4;2114,8;10690,7
"R2004 kw3";228868,4;51727,1;16232,8;38377;12456,3;2274,5;9354,2
"R2004 kw4";263900,2;57273;25239,7;38990;11532,9;2290,6;10102,5
"R2005 kw1";230098,9;52561,8;7889,2;40207,4;10369,8;1848,2;8739,9
"R2005 kw2";242441,245;52230,9;13526,2;40550,1;12723,4;2526,345;10368,5
"R2005 kw3";244647,8;53733,9;18129,6;41457,6;14241,3;2681,2;9139,9
"R2005 kw4";273342,5;59166,7999999999;26421,7;40622,2;12897,5;2531,7;10022,4
"R2006 kw1";244896,2;55385;8165,5;42889,7;11459,9;1866;8762,3
"R2006 kw2";256604,7;54271,8;14110,8;43198;14248,9;2570,9;10696,7
"R2006 kw3";264324,1;56996,6;19287,3;44226,4;16467,6;2681,7;9496,3
"R2006 kw4";303606,4;69244,7;30138,9;45408,3;15072,1;2644,6;10527,4
"R2007 kw1";272905,4;61980,7;11127,7;47389,3;12423,2;2024,7;9476,7
"R2007 kw2";285685,6;59097,7;17156;45732,5;14747,4;2774,4;11432,6
"R2007 kw3";290508,5;60848,2000000001;21648,8;47739,6;17999,9;3067,5;10477,6
"R2007 kw4";338408,6;77574,4;30989,6;50433,4;16897,9;3084,3;11725
"R2008 kw1";302030,848;67977,2;14160,9;52631,1;13968,4;2071,8;10385,8
"R2008 kw2";311056,714;62679,2;21554,1;49850,4;15273,1;2970,2;12591,4
"R2008 kw3";314013,412;65254,5;24670,8;51008,9;18789,5;3533,8;11615,3
"R2008 kw4";358469,826;80627,5;31585;51165,6;17580;3470,1;13399,2
"R2009 kw1";321110,2;75958,1;17201,9;57545,9;14164,9;2271;11131,6
"R2009 kw2";330450;67361,2;25066;55028,4;16431,2;3197;13274,4
"R2009 kw3";337326,1;68165,2;27803,7;57887,1;19093,3;3852,8;11998,2
"R2009 kw4";383138,2;89371,5;33932,5;58480,8;19348,3;3729,7;13756,8
"R2010 kw1";328151,3;74063,9;15537,4;56915;15874,6;2429,2;9861
"R2010 kw2";347247,3;73257,9;25027;54377,5;19122,4;3446,5;12122,6
"R2010 kw3";354441,3;75241,9;28830;57993;21194,1;3985,9;10822
"R2010 kw4";404528,4;99677,6;34016;59829,2;21008,6;3743,5;12398,8
"R2011 kw1";355127,7;85268;18074,1;58954,6;15829,7;2689,4;10498,6
"R2011 kw2";374546;75199,9;31776,3;58577,2;18382,2;3447,6;12289,7
"R2011 kw3";383444,5;78173,1;35433,7;61626,5;22433,2;4532,4;11235,6
"R2011 kw4";440522,6;110834,5;38529,9;62523,5;23395,9;4644,2;13216,9
"R2012 kw1";374631,4;95139,8;17463,7;65546;16820,5;2861;11944,3
"R2012 kw2";394901,6;83768,9;31602,7;63628,2;21279;3576,4;13761,9
"R2012 kw3";398273;84475,7;31944,8;67269,2;26653,2;4813,1;12420,8
"R2012 kw4";444932,7;108884,6;35257,3;64892,3;26082,2;4885;13977
"R2013 kw1";374894,1;89713,6;16669;66116,3;17517,3;2826,8;12238,2
"R2013 kw2";395913,4;80605,5;26541,4;64427,8;21213,1;3428,5;14043,6
"R2013 kw3";400482,1;77231,1;31348,7;68726,8;27022,9;4652,1;12210,3
"R2013 kw4";458836,4;110118,2;36186,8;67453,2;27934,7;4752,8;14248
"R2014 kw1";394621,4;98631,2;18502,2;62544,1;19291,8;3506;11586,2
"R2014 kw2";413397,8;86663,9;29073,3;59862,9;22303,8;4352;15032
"R2014 kw3";420936,7;87869,0999999999;34702,6;63808,4;29404;5941,8;13904,7
"R2014 kw4";471596,4;114744,2;39908,3;60562,2;29115,4;5943,6;16306,5
"R2015 kw1";412279,3;105344,8;21121,1;65815;20712,5;3641,3;12375,9
"R2015 kw2";433578,7;94245,4;32413,3;63789,5;24419,3;4574,9;16433,7
"R2015 kw3";440997,2;92661,3;38227,5;66866,7;31448,6;6130;14945,3
"R2015 kw4";511615,4;129219,6;46364,4;66195,1;31354,1;5969;18440,8
"R2016 kw1";428321,4;111659,6;20077,4;67198,1;21655,3;3740,3;13163,1
"R2016 kw2";448549,5;99961,7;31237,3;63890,6;25001,1;4565,6;16640,9
"R2016 kw3";453478,9;98131,2;33689;67379,5;31995,5;6318,6;15994
"R2016 kw4";522855,1;132762,1;42676,4;65906,7;32434,4;6042,5;19454,3
"R2017 kw1";459118,2;113360,8;18647,6;73323,8;24807,6;4753,1;13309,5
"R2017 kw2";478551,6;97806,4;31230,3;69522;28037,8;5872,8;18504,9
"R2017 kw3";489383,7;97945,9;36363,3;73809,8;35214,9;7898,2;17487,8
"R2017 kw4";555740,5;134618,5;42308,7;72149,1;35230,3;7381,4;21476,1
"R2018 kw1";489978,7;115457,1;22464;78216,8;27006,4;4909,1;14563,2
"R2018 kw2";510710;102642,7;36728,2;71751,8;31156,8;5906,7;19262,2
"R2018 kw3";527438,7;103946,4;40856,7;77628,3;40291,5;8021,8;20011,1
"R2018 kw4";598379,1;142145,9;47284,5;76102;38694,4;7449,3;24858,8
"R2019 kw1";527507,6;125867,6;24831,4;81512,9;29190;5596,2;15017,6
"R2019 kw2";554322,7;109786,9;39508,1;77631,2;31305,8;6682,5;21016,3
"R2019 kw3";568393,2;111492,9;43521,1;83229,9;42220,5;9199,4;21404,9
"R2019 kw4";638268,3;152370,5;47966,4;80650,5;41669,6;8476,2;27421,9
"R2020 kw1";559518,6;130431,6;27066,8;87449,6;30397,1;8354;16478
"R2020 kw2";529052,1;98480,2;40077,5;72132,2;26374,3;2057,6;23191,7
"R2020 kw3";589122,6;115826,7;40421,3;87836;39858,6;9281,3;24155,6
"R2020 kw4";659978,3;164199,4;46187,1;81322,5;41357,2;3663,5;30157,2
"R2021 kw1";595751,8;138551,5;21762,7;93556,7;30144,6;3191,6;20415,6
"R2021 kw2";621312,1;126056,5;40371;87791,1;30748,1;4066,3;28398,9
"R2021 kw3";666402,2;133204,2;40637,9;99044,2;42448,9;16767,1;28743,8
"R2021 kw4";747836;194157,3;44778,9;92737,5;43104,3;6575;34544,5
"R2022 kw1";685984;158950,6;28709,7;109735,3;40031,6;3961,7;23345,4
"R2022 kw2";726089,3;141674,2;47327,6;106922,3;40398,6;4996;33066,7
"R2022 kw3";781809,6;154312,6;47423,2;117067,5;55271,7;21255,1;34250,8
"R2022 kw4";873611,9;228359,7;54986,8;108427,5;52862,6;8303,3;43720,7
